Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
3/24/21,6111,12,Ventura County,CA,13.8,116906,116905,16.2,116761,17.8,63543,46.5,96.7,230736,27.3,230722,31.9,229762,35.1,99671,72.9,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI
3/24/21,UNK,12,Unknown County,CA,0,188053,187990,0,187802,0,76003,0,96.7,391899,0,391430,0,390386,0,130002,0,,,,,
3/24/21,6057,12,Nevada County,CA,15.5,15447,15445,17.4,15431,18.6,10438,36.9,96.7,26966,27,26961,30.3,26877,32.4,16585,58.6,Low,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI,Low-Mod VC/Low SVI
3/24/21,6113,12,Yolo County,CA,15,33000,33000,17.3,32956,18.9,16316,57.2,96.7,62752,28.5,62734,32.9,62445,35.7,23102,81,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Mod-High VC/Mod-High SVI
3/24/21,6043,12,Mariposa County,CA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
3/23/21,6089,12,Shasta County,CA,10.6,19178,19177,12.4,19143,13.6,11218,29.5,96.7,34175,19,34171,22.2,34079,24.1,18880,49.6,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI
3/23/21,6097,12,Sonoma County,CA,19.1,94596,94592,21.8,94515,23.7,50770,49.6,96.7,157737,31.9,157719,36.4,157313,39.4,75773,74.1,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI
3/23/21,6027,12,Inyo County,CA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
3/23/21,6029,12,Kern County,CA,8.7,78454,78447,10.8,78384,12.2,41360,40.9,96.7,157191,17.5,157155,21.6,156603,24.4,60813,60.1,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
3/23/21,6073,12,San Diego County,CA,13,433596,433587,15.2,433034,16.5,215072,44.4,96.7,1120440,33.6,1120361,39.2,1117355,42.6,522739,99.9,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
3/23/21,6061,12,Placer County,CA,17.1,68025,68024,19.9,67976,21.9,40883,51.5,96.7,111593,28,111587,32.6,111129,35.8,57628,72.6,Low,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI,Mod-High VC/Low SVI
3/23/21,6009,12,Calaveras County,CA,14.6,6698,6696,16.4,6693,17.6,4803,37.3,96.7,12611,27.5,12604,30.8,12576,33,8027,62.4,Low,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI,Low-Mod VC/Low SVI
3/23/21,6053,12,Monterey County,CA,10.6,45885,45885,12.8,45854,14.3,24897,41,96.7,97022,22.4,97016,27,96818,30.1,40171,66.1,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
3/23/21,6013,12,Contra Costa County,CA,17.3,199283,199274,20.2,198875,22.2,107270,57.1,96.7,337520,29.3,337489,34.1,335944,37.5,146669,78.1,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
3/23/21,6103,12,Tehama County,CA,9,5845,5845,10.6,5844,11.8,3166,24.8,96.7,10167,15.6,10167,18.5,10164,20.5,5282,41.3,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI
3/23/21,6087,12,Santa Cruz County,CA,17.3,47292,47291,19.7,47252,21.4,25704,54.4,96.7,85109,31.2,85073,35.5,84825,38.3,38737,82,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Mod-High VC/Mod-High SVI
3/23/21,6099,12,Stanislaus County,CA,10.3,56829,56772,12.5,56718,14.1,30071,40.7,96.7,137561,25,137456,30.3,136912,34,58835,79.6,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
3/23/21,6091,12,Sierra County,CA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
3/23/21,6037,12,Los Angeles County,CA,12.5,1258084,1257969,14.6,1256652,15.9,620968,43.9,96.7,2368888,23.6,2368572,27.5,2361113,29.9,902363,63.8,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
