date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests
5/28/21,Santa Cruz,County,273999,3,16151,0,206,976,439447,8,16885,-5,16129,0,207,1364
9/13/20,Unknown,County,,0,1,0,0,0,5,0,1,7,8,0,0,1364
10/25/20,Tulare,County,484423,22,17821,0,298,359,186901,17,20501,25,17431,1,296,1364
11/12/20,California,State,40129160,11536,1061057,73,18929,236457,21417922,13540,1232912,6893,998502,26,18163,136428
9/12/20,San Joaquin,County,782545,47,19577,2,468,612,219812,49,23633,89,19108,5,396,1365
5/6/21,El Dorado,County,193098,11,10066,1,111,483,179507,14,10075,28,10048,1,112,1365
12/8/20,Santa Barbara,County,456373,241,13784,1,143,3603,282893,251,14953,154,12516,0,141,1365
3/3/21,Monterey,County,448732,27,41959,1,494,1876,502632,36,47181,15,41731,0,325,1365
8/9/20,Solano,County,444255,21,4743,0,46,357,96494,12,4794,65,3954,0,31,1365
12/7/20,Santa Barbara,County,456373,230,13543,1,142,3418,279290,258,14702,110,12362,0,141,1365
7/18/21,San Francisco,County,892280,0,38360,0,560,,2267124,,49013,389,38367,0,560,13655
9/13/20,Monterey,County,448732,36,9215,0,64,477,127903,28,10184,83,8826,0,61,1366
12/30/20,Sonoma,County,496668,333,20233,5,198,4178,409352,362,21655,157,18947,4,191,1366
12/27/20,Monterey,County,448732,133,27440,4,229,1297,344340,111,30292,312,26322,-1,181,1366
12/2/20,San Diego,County,3370418,2257,94995,12,1096,24965,1569355,2357,82363,1217,84640,16,1035,13669
6/10/21,Santa Barbara,County,456373,11,34424,1,457,1006,671099,15,39734,12,34434,0,460,1367
8/1/20,Marin,County,260800,44,5459,0,75,444,81579,26,5887,60,4945,0,43,1367
6/9/21,Stanislaus,County,562303,27,56471,0,1016,1359,690731,32,64202,12,56560,1,974,1367
3/20/21,Napa,County,139652,12,9296,0,75,212,232092,8,9995,18,9274,0,77,1367
3/20/21,Orange,County,3228519,99,249376,4,5021,4258,3282138,121,302783,202,248348,21,4522,13670
11/21/20,San Bernardino,County,2217398,1370,91591,11,1423,8450,1050886,1281,106013,2003,83206,2,1222,13672
7/4/20,Stanislaus,County,562303,126,5121,1,67,483,50683,109,5759,551,3572,1,44,1368
1/31/21,Placer,County,400434,51,19457,1,253,588,278911,30,19929,76,18506,-1,204,1368
12/5/20,Santa Cruz,County,273999,85,5879,3,56,901,160599,83,5681,12,4997,8,40,1368
1/5/21,Yolo,County,223612,195,9809,3,147,2971,145177,213,9890,146,8980,6,127,1368
6/3/20,Ventura,County,852747,50,1673,0,33,1112,40943,43,1751,24,1202,0,30,1368
2/2/21,Tulare,County,484423,144,45679,0,716,2561,408219,197,51363,151,44720,7,625,1368
10/8/20,Unknown,County,,0,1,0,0,0,5,0,1,2,5,0,0,1368
11/23/20,San Bernardino,County,2217398,2341,94806,11,1442,19047,1073710,2723,109250,882,84387,0,1224,13691
10/2/20,San Diego,County,3370418,282,49704,5,835,9398,825683,318,40327,306,47793,2,794,13693
4/7/21,Santa Clara,County,1967585,170,114858,2,1961,18632,3520262,207,130657,127,115311,0,1900,13694
10/13/20,Kings,County,156444,6,8220,1,82,1096,99555,19,9349,5,8111,0,80,137
8/30/20,Tuolumne,County,52351,0,208,0,2,35,19214,0,270,0,178,0,1,137
6/30/21,Del Norte,County,27558,1,1441,0,7,296,100356,1,1635,0,1435,0,8,137
3/27/21,Sutter,County,105747,2,9092,1,110,94,88088,7,10059,11,9093,2,106,137
